local_timestamp,eeg_timestamp,label
1768152995.6039054,2754250.4690412497,Trial_1_Start
1768152995.6040523,2754250.46918565,Posture_A_Flex_your_arm_after_the_sound
1768152995.6040936,2754250.46922615,PromptStart_Trial_1
1768153000.5869002,2754255.45203415,PromptEnd_Trial_1
1768153000.5870457,2754255.45217865,FixationStart_Trial_1
1768153001.5963573,2754256.4614914497,FixationEnd_Trial_1
1768153001.5965168,2754256.46165285,PostureStart_Trial_1
1768153004.6089895,2754259.47412315,PostureEnd_Trial_1
1768153004.6091173,2754259.47425105,TrialEnd_Trial_1
1768153005.120169,2754259.98530265,Trial_1_Complete
1768153005.1363962,2754260.00152965,Trial_2_Start
1768153005.1365006,2754260.00163415,Posture_A_Rest_your_arm_flexed_after_the_sound
1768153005.1365533,2754260.00168605,PromptStart_Trial_2
1768153010.1202009,2754264.98533445,PromptEnd_Trial_2
1768153010.1203027,2754264.9854356498,FixationStart_Trial_2
1768153011.126841,2754265.9919748497,FixationEnd_Trial_2
1768153011.1269913,2754265.99212675,PostureStart_Trial_2
1768153014.1272242,2754268.99235785,PostureEnd_Trial_2
1768153014.1273544,2754268.99248835,TrialEnd_Trial_2
1768153014.6284456,2754269.49357935,Trial_2_Complete
1768153014.6441195,2754269.5092530497,Trial_3_Start
1768153014.644232,2754269.50936585,Posture_A_Extend_your_arm_after_the_sound
1768153014.6442912,2754269.50942405,PromptStart_Trial_3
1768153019.6361372,2754274.50127055,PromptEnd_Trial_3
1768153019.636293,2754274.5014266497,FixationStart_Trial_3
1768153020.6490743,2754275.51421085,FixationEnd_Trial_3
1768153020.649233,2754275.51436705,PostureStart_Trial_3
1768153023.6594722,2754278.5246058498,PostureEnd_Trial_3
1768153023.6596007,2754278.52473455,TrialEnd_Trial_3
1768153024.1693444,2754279.03447835,Trial_3_Complete
1768153024.1857376,2754279.0508712498,Trial_4_Start
1768153024.1858473,2754279.05098125,Posture_A_Rest_your_arm_extended_after_the_sound
1768153024.1859071,2754279.0510401498,PromptStart_Trial_4
1768153029.1783602,2754284.04349365,PromptEnd_Trial_4
1768153029.178477,2754284.0436107498,FixationStart_Trial_4
1768153030.1876929,2754285.0528264497,FixationEnd_Trial_4
1768153030.187821,2754285.05295475,PostureStart_Trial_4
1768153033.189057,2754288.05419045,PostureEnd_Trial_4
1768153033.189162,2754288.05429475,TrialEnd_Trial_4
1768153033.7030773,2754288.56821075,Trial_4_Complete
1768153033.719439,2754288.58457265,Trial_5_Start
1768153033.7195525,2754288.58468635,Posture_A_Flex_your_arm_after_the_sound
1768153033.7196095,2754288.58474265,PromptStart_Trial_5
1768153038.7122211,2754293.57735515,PromptEnd_Trial_5
1768153038.712388,2754293.57752195,FixationStart_Trial_5
1768153039.717983,2754294.58311685,FixationEnd_Trial_5
