ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7
-12462.435,-72105.3,-29468.204999999998,-24711.93,-26428.32,-31471.065,-7478.37,13571.279999999999
-12337.38,-71984.745,-29506.05,-24760.98,-26480.385,-31559.895,-7543.844999999999,13737.51
-12235.275,-72087.12,-29615.985,-24833.25,-26405.91,-31351.32,-7633.215,13900.095
-12136.904999999999,-72130.23,-29578.545,-24746.129999999997,-26168.579999999998,-31095.18,-7668.315,14071.769999999999
-12043.664999999999,-72131.48999999999,-29491.065,-24653.07,-26103.059999999998,-31103.864999999998,-7611.075,14251.005
-11965.68,-72129.555,-29450.52,-24647.265,-26145.945,-31097.745,-7519.139999999999,14423.535
-11887.965,-72120.555,-29416.094999999998,-24607.17,-26089.695,-31047.164999999997,-7388.865,14604.435
-11803.14,-72067.41,-29433.555,-24639.3,-26118.495,-31135.68,-7355.79,14790.914999999999
-11711.16,-72087.165,-29486.34,-24700.364999999998,-26214.614999999998,-31280.85,-7394.445,14980.68
-11606.13,-72093.19499999999,-29547.765,-24792.795,-26440.065,-31469.76,-7451.639999999999,15174.449999999999
-11491.695,-72170.73,-29615.039999999997,-24868.215,-26512.02,-31557.42,-7576.469999999999,15370.109999999999
-11368.845,-72174.95999999999,-29585.925,-24804.629999999997,-26312.219999999998,-31293.675,-7598.16,15569.324999999999
-11264.805,-72158.44499999999,-29485.35,-24658.155,-26095.004999999997,-31031.73,-7532.594999999999,15758.144999999999
-11178.72,-72201.285,-29455.92,-24616.8,-26055.719999999998,-30991.184999999998,-7560.945,15938.055
-11097.494999999999,-72211.815,-29492.954999999998,-24678.315,-26134.11,-31083.614999999998,-7575.4349999999995,16118.234999999999
-11013.93,-72081.62999999999,-29448.989999999998,-24657.3,-26116.335,-31079.07,-7565.804999999999,16294.68
-10931.039999999999,-72060.435,-29453.129999999997,-24665.895,-26140.094999999998,-31208.039999999997,-7493.445,16476.57
-10855.305,-72085.68,-29476.8,-24692.129999999997,-26197.245,-31262.489999999998,-7423.38,16654.86
-10756.395,-71987.175,-29438.19,-24655.23,-26122.77,-31123.934999999998,-7474.815,16837.11
-10645.74,-72029.83499999999,-29502.045,-24730.469999999998,-26225.46,-31287.465,-7534.9349999999995,17016.704999999998
-10530.0,-72100.395,-29553.57,-24779.25,-26254.934999999998,-31272.344999999998,-7570.665,17198.01
-10407.824999999999,-72071.595,-29555.594999999998,-24781.14,-26225.235,-31203.585,-7477.5599999999995,17390.745
-10310.58,-72122.12999999999,-29593.664999999997,-24820.695,-26262.719999999998,-31255.875,-7415.505,17580.645
-10227.69,-72291.95999999999,-29717.055,-24930.495,-26371.89,-31365.765,-7502.985,17771.219999999998
-10142.369999999999,-72429.20999999999,-29755.62,-24922.17,-26338.545,-31329.629999999997,-7673.849999999999,17964.719999999998
-10045.215,-72362.83499999999,-29637.989999999998,-24794.415,-26200.664999999997,-31183.649999999998,-7690.455,18159.03
-9965.789999999999,-72209.16,-29455.379999999997,-24646.094999999998,-26048.295,-31033.035,-7524.719999999999,18333.719999999998
-9887.355,-72063.135,-29361.42,-24615.045,-26059.77,-31050.315,-7358.175,18509.67
-9796.05,-72061.65,-29415.465,-24698.16,-26178.39,-31174.11,-7328.745,18688.995
-9698.805,-72102.105,-29521.17,-24811.29,-26297.414999999997,-31311.809999999998,-7398.179999999999,18850.41
-9589.365,-72102.33,-29556.18,-24836.67,-26312.355,-31415.399999999998,-7480.755,19012.86
-9478.619999999999,-72112.59,-29505.195,-24779.52,-26252.64,-31339.8,-7516.889999999999,19176.075
-9398.97,-72109.305,-29522.565,-24817.004999999997,-26283.69,-31375.44,-7501.365,19318.184999999998
-9314.91,-72106.33499999999,-29523.555,-24785.504999999997,-26186.265,-31165.649999999998,-7462.08,19470.42
-9230.715,-72130.31999999999,-29501.82,-24705.315,-26037.045,-30972.645,-7478.235,19629.18
-9153.945,-72132.66,-29650.995,-24915.6,-26301.69,-31343.895,-7443.0,19788.93
-9091.08,-72193.14,-29870.235,-25248.239999999998,-26759.7,-31810.725,-7428.78,19938.6
-9030.105,-72325.665,-30028.454999999998,-25416.989999999998,-26762.985,-31699.035,-7506.045,20083.995
-8925.21,-72233.50499999999,-29772.36,-25070.265,-26264.835,-31189.59,-7655.759999999999,20252.114999999998
-8809.47,-72197.45999999999,-29589.39,-24808.95,-26140.094999999998,-31186.89,-7876.98,20423.204999999998
-8693.145,-72256.455,-29635.695,-24798.42,-26108.055,-31052.295,-8041.679999999999,20600.505
-8568.81,-72193.77,-29507.895,-24637.32,-25842.329999999998,-30701.34,-7858.3949999999995,20792.07
-8465.625,-72072.98999999999,-29361.51,-24505.605,-25710.57,-30592.485,-7614.719999999999,20974.905
-8390.43,-72066.465,-29403.45,-24582.735,-25827.57,-30798.855,-7515.585,21140.684999999998
-8312.22,-72114.3,-29519.594999999998,-24725.34,-25990.02,-30979.574999999997,-7427.5199999999995,21311.01
-8234.279999999999,-72098.235,-29447.37,-24707.295,-26023.59,-31082.039999999997,-7324.514999999999,21478.86
-8174.79,-72268.69499999999,-29520.09,-24804.18,-26141.489999999998,-31181.67,-7328.565,21634.649999999998
-8103.24,-72083.025,-29568.914999999997,-24892.065,-26203.094999999998,-31226.895,-7486.695,21788.37
-8016.974999999999,-71984.06999999999,-29649.824999999997,-24983.055,-26222.489999999998,-31209.48,-7596.855,21948.704999999998
-7919.639999999999,-72186.48,-29772.539999999997,-25038.18,-26216.594999999998,-31145.579999999998,-7663.049999999999,22111.155
-7812.674999999999,-72522.94499999999,-29842.605,-25016.895,-26167.14,-31078.754999999997,-7691.985,22281.795
-7700.085,-72717.075,-29814.75,-24913.035,-26050.995,-31015.664999999997,-7729.29,22450.86
-7590.24,-72468.09,-29603.925,-24726.329999999998,-25863.254999999997,-30897.18,-7864.065,22609.305
-7494.929999999999,-72132.885,-29447.37,-24676.739999999998,-25864.965,-30880.754999999997,-7768.844999999999,22762.26
-7403.849999999999,-71931.015,-29360.385,-24693.12,-25959.87,-31004.864999999998,-7508.79,22920.165
-7333.335,-71989.92,-29438.73,-24755.085,-25999.965,-31026.329999999998,-7372.62,23065.695
-7266.69,-72092.25,-29537.864999999998,-24803.415,-26015.039999999997,-31048.11,-7402.1849999999995,23207.355
-7186.59,-72226.26,-29567.295,-24811.379999999997,-26025.075,-31066.515,-7429.995,23360.985
-7087.005,-72277.155,-29580.93,-24845.175,-26064.629999999997,-31078.079999999998,-7483.995,23524.605
-6984.719999999999,-72275.67,-29607.84,-24877.62,-26069.445,-31054.68,-7549.605,23678.594999999998
-6868.44,-72206.415,-29661.75,-24912.495,-26089.065,-31100.625,-7689.375,23837.895
-6745.139999999999,-72186.12,-29730.555,-24965.235,-26137.305,-31305.69,-7748.235,24003.135
-6647.219999999999,-72242.775,-29771.73,-24997.86,-26125.02,-31243.77,-7673.13,24156.585
-6567.929999999999,-72352.305,-29818.079999999998,-25112.25,-26188.515,-31095.989999999998,-7522.38,24301.934999999998
-6491.655,-72469.575,-29923.605,-25289.37,-26390.565,-31267.305,-7479.179999999999,24447.285
-6403.679999999999,-72471.645,-29972.295,-25359.93,-26546.625,-31386.51,-7682.94,24597.765
-6317.46,-72410.76,-29851.92,-25082.504999999997,-26190.315,-31217.579999999998,-8104.139999999999,24739.469999999998
-6234.84,-72496.485,-29744.504999999997,-24868.485,-25913.7,-30893.94,-8165.07,24885.36
-6128.37,-72349.29,-29576.52,-24715.035,-25712.82,-30619.98,-7825.815,25050.015
-6014.655,-72021.555,-29448.809999999998,-24694.875,-25771.77,-30723.84,-7545.105,25206.254999999997
-5912.325,-72057.69,-29716.065,-24944.76,-25959.195,-30949.605,-7440.525,25353.765
-5810.625,-72285.435,-29971.395,-25145.73,-25927.065,-30902.85,-7455.42,25500.87
-5711.264999999999,-72337.995,-29881.44,-25138.844999999998,-25851.78,-30840.39,-7512.165,25651.934999999998
-5630.8949999999995,-72461.925,-29792.925,-25140.78,-25978.004999999997,-30976.245,-7507.3949999999995,25793.055
-5546.205,-72444.33,-29753.055,-25030.17,-25962.344999999998,-30935.969999999998,-7473.78,25937.82
-5467.365,-72335.25,-29749.815,-25070.805,-26229.645,-31434.434999999998,-7534.889999999999,26077.905
-5389.5599999999995,-72325.935,-29765.789999999997,-25129.665,-26377.335,-31670.594999999998,-7670.88,26221.14
-5308.605,-72401.22,-29910.6,-25290.809999999998,-26391.285,-31340.745,-7761.24,26370.135
-5215.32,-72425.565,-29981.565,-25323.84,-26333.37,-31024.44,-7848.045,26521.469999999998
-5103.855,-72314.86499999999,-29740.32,-24954.66,-26008.2,-30785.309999999998,-7972.245,26668.26
-4998.87,-72315.135,-29571.704999999998,-24722.684999999998,-25842.375,-30778.829999999998,-8015.49,26813.16
-4887.63,-72352.53,-29475.989999999998,-24600.555,-25709.265,-30645.18,-7987.679999999999,26967.105
-4783.1849999999995,-72220.05,-29467.575,-24647.895,-25741.215,-30641.535,-7860.195,27120.285
-4704.57,-72278.81999999999,-29501.864999999998,-24748.92,-25841.789999999997,-30827.43,-7616.295,27262.035
-4632.57,-72336.465,-29626.155,-24908.219999999998,-26017.559999999998,-31009.68,-7487.549999999999,27400.77
-4543.335,-72258.61499999999,-29700.629999999997,-24962.445,-26021.385,-30965.625,-7565.8949999999995,27546.48
-4468.545,-72443.025,-29769.074999999997,-24978.555,-25984.89,-30864.645,-7597.17,27689.579999999998
-4395.69,-72618.75,-29810.16,-24993.899999999998,-25934.039999999997,-30808.35,-7630.065,27830.745
-4299.84,-72547.02,-29903.445,-25118.64,-25979.67,-30971.789999999997,-7693.29,27980.594999999998
-4184.55,-72478.215,-30022.559999999998,-25321.454999999998,-26249.579999999998,-31318.065,-7793.865,28141.92
-4077.99,-72527.22,-30141.855,-25510.59,-26556.614999999998,-31534.92,-7956.764999999999,28290.285
-3968.415,-72589.455,-30126.149999999998,-25434.989999999998,-26515.17,-31655.52,-8173.755,28436.399999999998
-3852.495,-72559.75499999999,-29864.07,-25041.195,-26126.864999999998,-31190.535,-8229.33,28598.355
-3755.25,-72509.265,-29690.37,-24818.445,-25807.184999999998,-30645.539999999997,-8203.545,28751.355
-3679.56,-72572.67,-29800.844999999998,-24950.925,-25880.805,-30708.045,-8117.19,28890.0
-3591.27,-72370.17,-29644.695,-24838.92,-25794.45,-30704.489999999998,-7896.915,29038.995
-3510.9,-72258.03,-29656.26,-24898.905,-25900.379999999997,-30867.254999999997,-7662.0599999999995,29186.864999999998
-3444.21,-72534.69,-29943.495,-25144.875,-26113.32,-31055.94,-7693.83,29324.835
-3363.5699999999997,-72794.52,-30054.69,-25225.245,-26190.405,-31144.5,-7853.13,29465.37
-3250.125,-72697.275,-29828.114999999998,-25027.2,-26021.925,-31016.52,-7917.48,29620.98
-3123.1349999999998,-72378.9,-29626.289999999997,-24838.155,-25826.265,-30824.1,-7877.429999999999,29780.55
-3012.8399999999997,-72282.51,-29665.89,-24869.835,-25835.805,-30821.355,-7883.91,29927.114999999998
-2925.3599999999997,-72399.15,-29780.64,-25025.265,-25968.195,-30958.695,-7986.554999999999,30064.86
-2835.99,-72506.7,-29888.324999999997,-25179.165,-26101.079999999998,-30997.215,-7998.795,30211.425
-2745.315,-72504.27,-29904.614999999998,-25187.219999999998,-26087.985,-30870.855,-7932.014999999999,30360.329999999998
-2664.855,-72485.81999999999,-29892.78,-25147.575,-26087.309999999998,-30928.14,-7941.33,30499.02
-2601.54,-72561.735,-30007.215,-25264.665,-26234.37,-31220.73,-8113.724999999999,30626.324999999997
-2531.0699999999997,-72656.28,-30146.76,-25379.504999999997,-26279.37,-31252.32,-8241.345,30761.954999999998
-2428.92,-72536.715,-30071.655,-25302.6,-26147.295,-31089.78,-8143.695,30916.71
-2326.005,-72410.67,-30053.835,-25337.79,-26190.045,-31060.664999999997,-8017.245,31054.86
-2217.285,-72499.095,-30081.735,-25379.954999999998,-26295.344999999998,-31206.059999999998,-7925.58,31206.555
-2103.435,-72839.97,-30145.725,-25375.184999999998,-26254.754999999997,-31197.42,-7897.094999999999,31375.844999999998
-1989.54,-72914.535,-30141.539999999997,-25284.735,-26097.75,-31076.414999999997,-7852.139999999999,31536.405
-1883.8799999999999,-72874.215,-30395.295,-25345.17,-25925.85,-30950.504999999997,-7805.295,31694.085
-1800.1799999999998,-72974.25,-30941.324999999997,-25991.954999999998,-26078.94,-31124.879999999997,-7788.33,31841.235
-1732.4099999999999,-73055.565,-31355.55,-26702.19,-26587.62,-31543.829999999998,-7830.45,31975.199999999997
-1663.6499999999999,-73114.11,-31358.925,-26974.305,-27264.555,-32028.03,-7875.855,32110.02
-1572.03,-72949.905,-30640.094999999998,-26269.695,-27331.605,-32172.75,-7970.535,32254.335
-1452.4199999999998,-72646.11,-29616.39,-24963.885,-26685.855,-31664.475,-8110.53,32410.125
-1346.6699999999998,-72576.22499999999,-29435.985,-24627.149999999998,-26125.335,-31240.62,-8163.495,32551.829999999998
-1254.4199999999998,-72741.555,-29768.94,-24913.665,-26032.545,-30969.045,-8278.74,32684.355
-1155.0149999999999,-72876.95999999999,-29916.18,-25012.844999999998,-26021.16,-30876.84,-8501.805,32819.22
