ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7
-27670.274999999998,-54714.015,-21844.754999999997,-37841.22,-12813.93,-60814.439999999995,292033.52999999997,-20142.315
-27716.355,-54788.759999999995,-21898.89,-37866.78,-12796.47,-60769.215,292147.64999999997,-20166.165
-27781.739999999998,-54864.945,-21956.715,-37901.52,-12773.88,-60716.79,292387.14,-20211.57
-27819.629999999997,-54894.645,-21992.04,-37936.89,-12770.189999999999,-60696.405,292637.115,-20242.8
-27824.355,-54917.954999999994,-22007.34,-37935.135,-12750.3,-60662.97,292809.105,-20232.495
-27835.695,-54948.869999999995,-21997.44,-37912.409999999996,-12730.814999999999,-60638.265,292922.73,-20230.2
-27829.664999999997,-54936.99,-21990.825,-37926.27,-12765.645,-60690.42,293042.88,-20236.364999999998
-27791.64,-54878.939999999995,-21965.715,-37916.729999999996,-12780.585,-60720.884999999995,293093.415,-20216.655
-27760.364999999998,-54841.229999999996,-21950.46,-37912.409999999996,-12818.295,-60786.045,293105.97,-20196.045
-27701.864999999998,-54771.704999999994,-21887.504999999997,-37868.58,-12826.98,-60824.744999999995,293025.915,-20163.015
-27652.545,-54725.22,-21830.085,-37816.29,-12782.88,-60779.564999999995,292986.72,-20129.219999999998
-27686.34,-54774.09,-21866.129999999997,-37838.79,-12770.055,-60742.89,293097.87,-20149.515
-27731.475,-54819.945,-21919.32,-37864.08,-12726.09,-60662.835,293296.995,-20177.505
-27787.094999999998,-54870.119999999995,-21974.579999999998,-37911.555,-12730.095,-60646.049999999996,293521.095,-20215.485
-27813.6,-54900.09,-22008.105,-37935.72,-12736.619999999999,-60649.2,293698.485,-20228.175
-27829.664999999997,-54940.095,-22024.26,-37938.465,-12734.234999999999,-60645.555,293833.52999999997,-20230.695
-27813.914999999997,-54961.56,-22009.545,-37923.659999999996,-12743.865,-60664.229999999996,293924.07,-20218.14
-27772.469999999998,-54893.25,-21961.125,-37902.645,-12762.449999999999,-60699.24,293960.97,-20202.57
-27694.079999999998,-54780.345,-21892.545,-37858.545,-12768.615,-60736.454999999994,293921.955,-20159.954999999998
-27614.879999999997,-54689.04,-21825.899999999998,-37810.935,-12770.865,-60769.935,293822.14499999996,-20108.969999999998
-27590.355,-54682.424999999996,-21801.6,-37785.555,-12746.34,-60742.619999999995,293793.885,-20082.645
-27646.065,-54753.03,-21839.895,-37801.08,-12720.015,-60689.34,293890.68,-20108.114999999998
-27729.675,-54851.715,-21919.68,-37854.09,-12707.01,-60638.805,294116.355,-20159.505
-27778.86,-54910.034999999996,-21967.065,-37889.775,-12703.5,-60612.03,294349.635,-20194.469999999998
-27787.32,-54915.84,-21969.809999999998,-37897.604999999996,-12707.505,-60616.845,294521.985,-20203.829999999998
-27762.03,-54883.665,-21937.77,-37869.795,-12688.064999999999,-60604.11,294623.55,-20190.42
-27740.16,-54857.7,-21917.7,-37860.479999999996,-12695.13,-60622.875,294711.12,-20179.17
-27717.164999999997,-54825.435,-21895.245,-37853.369999999995,-12710.789999999999,-60654.78,294765.48,-20168.235
-27669.329999999998,-54768.78,-21860.64,-37834.875,-12724.65,-60688.665,294751.035,-20133.855
-27611.954999999998,-54706.905,-21819.149999999998,-37804.905,-12735.135,-60722.64,294668.37,-20093.219999999998
-27565.92,-54652.59,-21757.274999999998,-37753.83,-12702.869999999999,-60694.47,294624.63,-20062.215
-27585.18,-54676.935,-21765.87,-37759.005,-12681.585,-60651.494999999995,294705.26999999996,-20073.329999999998
-27657.495,-54758.655,-21840.3,-37806.21,-12662.145,-60598.979999999996,294926.39999999997,-20120.579999999998
-27695.969999999998,-54806.265,-21875.579999999998,-37817.82,-12623.805,-60535.799999999996,295140.06,-20142.989999999998
-27712.62,-54836.055,-21892.995,-37827.765,-12623.22,-60532.875,295314.885,-20148.66
-27703.575,-54825.795,-21904.379999999997,-37840.049999999996,-12642.615,-60562.215,295442.27999999997,-20147.13
-27692.504999999997,-54813.42,-21897.405,-37843.965,-12657.465,-60585.165,295537.32,-20139.434999999998
-27688.905,-54822.015,-21881.07,-37829.79,-12664.71,-60596.64,295592.13,-20127.87
-27657.719999999998,-54790.74,-21858.075,-37810.665,-12691.755,-60650.055,295589.88,-20111.265
-27570.914999999997,-54670.14,-21778.695,-37754.775,-12689.055,-60680.655,295486.695,-20061.765
-27536.399999999998,-54631.755,-21745.98,-37733.085,-12676.005,-60669.09,295453.52999999997,-20037.149999999998
-27584.774999999998,-54688.59,-21779.19,-37759.68,-12670.695,-60644.564999999995,295551.675,-20067.03
-27633.015,-54745.829999999994,-21817.53,-37779.615,-12629.744999999999,-60565.229999999996,295745.58,-20094.704999999998
-27676.305,-54796.59,-21870.45,-37821.465,-12626.369999999999,-60541.02,295971.75,-20122.92
-27707.399999999998,-54839.43,-21912.254999999997,-37855.034999999996,-12647.52,-60562.305,296160.48,-20145.195
-27702.629999999997,-54853.47,-21920.67,-37846.08,-12633.795,-60544.395,296270.45999999996,-20133.225
-27703.079999999998,-54844.74,-21920.355,-37854.314999999995,-12657.465,-60577.155,296371.26,-20136.42
-27678.059999999998,-54803.384999999995,-21893.67,-37849.59,-12682.71,-60621.39,296419.815,-20127.465
-27620.28,-54733.994999999995,-21832.155,-37805.22,-12681.27,-60646.365,296387.865,-20090.88
-27566.64,-54684.09,-21779.82,-37770.345,-12693.96,-60686.145,296303.58,-20054.88
-27528.39,-54641.744999999995,-21726.45,-37717.335,-12658.005,-60647.445,296253.045,-20024.055
-27550.53,-54660.825,-21749.489999999998,-37725.03,-12632.625,-60599.07,296313.075,-20035.755
-27623.7,-54749.204999999994,-21814.065,-37769.985,-12613.005,-60545.7,296507.07,-20083.364999999998
-27677.024999999998,-54816.57,-21867.434999999998,-37805.22,-12600.855,-60510.284999999996,296725.005,-20115.27
-27684.675,-54833.715,-21884.985,-37821.465,-12605.805,-60513.84,296913.285,-20117.88
-27663.254999999997,-54807.299999999996,-21855.87,-37800.45,-12593.115,-60507.899999999994,297019.62,-20104.739999999998
-27645.03,-54781.335,-21835.035,-37792.08,-12600.314999999999,-60524.055,297097.15499999997,-20094.524999999998
-27626.265,-54759.869999999995,-21821.715,-37783.26,-12610.08,-60544.845,297139.095,-20080.62
-27589.905,-54713.97,-21786.254999999997,-37770.255,-12640.455,-60605.28,297127.52999999997,-20062.215
-27509.579999999998,-54617.985,-21699.09,-37707.615,-12634.74,-60627.735,297018.045,-20010.059999999998
-27467.774999999998,-54575.145,-21667.23,-37666.979999999996,-12600.045,-60589.395,296962.83,-19976.355
-27482.579999999998,-54597.195,-21673.035,-37661.895,-12562.425,-60529.814999999995,297022.005,-19985.265
-27555.344999999998,-54690.075,-21743.73,-37706.22,-12542.13,-60476.13,297227.745,-20029.995
-27609.795,-54768.509999999995,-21813.3,-37745.055,-12527.595,-60437.564999999995,297447.48,-20063.204999999998
-27622.53,-54786.645,-21835.62,-37766.564999999995,-12535.064999999999,-60439.005,297610.83,-20069.684999999998
-27617.129999999997,-54767.52,-21820.635,-37770.659999999996,-12556.98,-60471.045,297722.925,-20072.925
-27605.07,-54754.155,-21812.94,-37774.845,-12577.994999999999,-60501.689999999995,297810.315,-20065.32
-27591.614999999998,-54732.15,-21787.155,-37756.35,-12579.75,-60517.665,297852.20999999996,-20057.085
-27533.43,-54651.104999999996,-21724.425,-37712.655,-12580.154999999999,-60546.329999999994,297810.045,-20021.13
-27471.645,-54587.88,-21676.995,-37680.615,-12595.41,-60584.67,297717.705,-19977.344999999998
-27424.215,-54540.854999999996,-21632.805,-37642.59,-12568.994999999999,-60561.18,297666.045,-19941.344999999998
-27452.07,-54581.67,-21662.37,-37663.155,-12559.77,-60534.63,297745.11,-19961.505
-27520.245,-54666.09,-21718.395,-37698.615,-12535.515,-60473.52,297943.01999999996,-20004.3
-27584.864999999998,-54752.534999999996,-21786.48,-37737.18,-12517.47,-60425.82,298164.105,-20037.015
-27599.94,-54772.424999999996,-21801.96,-37735.695,-12498.39,-60397.02,298319.13,-20037.69
-27596.475,-54769.77,-21804.344999999998,-37747.35,-12514.949999999999,-60420.689999999995,298435.995,-20039.895
-27565.875,-54741.915,-21780.225,-37727.729999999996,-12517.965,-60436.17,298510.56,-20023.92
-27546.164999999997,-54711.854999999996,-21761.73,-37722.24,-12539.115,-60472.979999999996,298556.27999999997,-20016.54
-27485.64,-54633.06,-21696.93,-37681.02,-12540.195,-60499.034999999996,298519.83,-19976.85
-27412.739999999998,-54539.28,-21620.34,-37631.07,-12548.744999999999,-60542.685,298415.16,-19932.975
-27372.555,-54486.945,-21579.165,-37606.635,-12544.154999999999,-60549.75,298369.305,-19914.165
-27409.41,-54551.924999999996,-21629.34,-37633.59,-12526.965,-60500.79,298446.48,-19929.78
-27490.004999999997,-54666.09,-21703.23,-37660.725,-12478.185,-60400.665,298636.605,-19963.53
-27536.219999999998,-54713.115,-21727.305,-37670.22,-12446.685,-60349.095,298834.245,-19990.71
-27545.219999999998,-54717.93,-21724.92,-37677.645,-12452.49,-60356.655,298989.675,-19999.305
-27542.565,-54726.57,-21731.04,-37688.13,-12468.105,-60375.195,299100.915,-19996.875
-27539.504999999997,-54717.57,-21743.91,-37711.215,-12500.145,-60419.564999999995,299194.56,-20001.555
-27512.864999999998,-54674.415,-21713.76,-37701.99,-12512.564999999999,-60442.604999999996,299225.97,-19990.98
-27466.469999999998,-54602.325,-21658.364999999998,-37667.97,-12525.345,-60477.93,299190.015,-19961.19
-27376.829999999998,-54518.49,-21568.14,-37587.51,-12500.279999999999,-60482.7,299061.855,-19899.719999999998
-27327.69,-54512.64,-21544.739999999998,-37539.0,-12459.779999999999,-60446.204999999994,298992.33,-19860.704999999998
-27358.695,-54540.945,-21582.54,-37558.53,-12449.34,-60415.695,299055.77999999997,-19877.085
-27431.37,-54618.03,-21656.835,-37613.43,-12441.015,-60373.845,299253.06,-19926.18
-27474.164999999997,-54664.424999999996,-21693.105,-37637.189999999995,-12415.05,-60327.494999999995,299442.87,-19957.454999999998
-27475.829999999998,-54668.79,-21691.125,-37630.665,-12397.949999999999,-60307.56,299589.615,-19955.655
