ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7
-16048.529999999999,-37540.665,-4204.8,-10152.945,-18531.27,-28505.07,-6663.195,-4341.6449999999995
-16069.185,-37554.39,-4220.6849999999995,-10163.97,-18526.905,-28485.719999999998,-6661.3949999999995,-4362.345
-16099.47,-37585.89,-4256.865,-10192.545,-18533.745,-28461.78,-6629.67,-4380.389999999999
-16103.295,-37585.439999999995,-4264.605,-10200.69,-18539.864999999998,-28463.445,-6646.634999999999,-4384.845
-16107.255,-37593.81,-4271.175,-10207.935,-18552.915,-28470.78,-6666.525,-4385.474999999999
-16119.045,-37600.515,-4281.93,-10218.69,-18575.64,-28498.995,-6685.65,-4388.355
-16112.88,-37583.145,-4263.12,-10199.565,-18566.01,-28498.004999999997,-6659.054999999999,-4373.415
-16127.505,-37607.04,-4269.0599999999995,-10181.97,-18527.535,-28449.405,-6658.695,-4383.855
-16128.045,-37617.615,-4272.57,-10181.52,-18521.864999999998,-28440.135,-6653.205,-4379.715
-16126.695,-37603.17,-4273.605,-10196.414999999999,-18557.1,-28484.414999999997,-6682.59,-4385.115
-16119.494999999999,-37582.604999999996,-4260.69,-10191.555,-18562.14,-28480.23,-6709.679999999999,-4378.86
-16151.625,-37606.905,-4276.08,-10196.73,-18548.864999999998,-28432.079999999998,-6704.955,-4399.514999999999
-16150.814999999999,-37602.314999999995,-4274.82,-10200.824999999999,-18560.745,-28461.645,-6687.405,-4394.745
-16160.58,-37602.63,-4279.455,-10210.904999999999,-18569.7,-28470.195,-6690.24,-4408.965
-16163.685,-37584.494999999995,-4267.755,-10204.065,-18560.07,-28459.664999999997,-6700.365,-4414.545
-16187.58,-37588.14,-4275.135,-10205.775,-18547.92,-28431.765,-6686.46,-4435.5599999999995
-16201.845,-37581.39,-4291.0199999999995,-10237.59,-18580.905,-28444.77,-6691.545,-4447.755
-16191.63,-37547.28,-4264.74,-10225.8,-18576.989999999998,-28443.42,-6724.3949999999995,-4438.889999999999
-16192.349999999999,-37569.96,-4247.955,-10190.43,-18536.355,-28405.305,-6718.95,-4418.37
-16197.705,-37654.47,-4275.855,-10196.55,-18541.844999999998,-28399.5,-6681.195,-4396.455
-16195.455,-37669.229999999996,-4289.355,-10201.32,-18537.84,-28373.76,-6709.95,-4403.205
-16183.17,-37672.515,-4297.365,-10200.015,-18542.295,-28385.594999999998,-6746.3099999999995,-4401.54
-16190.234999999999,-37664.729999999996,-4313.745,-10212.029999999999,-18555.03,-28391.175,-6719.804999999999,-4402.845
-16213.994999999999,-37659.555,-4321.17,-10233.945,-18568.575,-28379.34,-6689.16,-4413.465
-16225.064999999999,-37645.244999999995,-4313.79,-10238.039999999999,-18569.16,-28374.84,-6707.295,-4425.255
-16224.615,-37617.39,-4290.615,-10221.525,-18547.559999999998,-28351.8,-6722.19,-4423.545
-16231.095,-37613.88,-4294.62,-10235.52,-18562.77,-28363.274999999998,-6730.92,-4419.495
-16231.635,-37609.29,-4293.495,-10230.57,-18556.739999999998,-28352.789999999997,-6744.33,-4412.745
-16243.605,-37642.229999999996,-4290.48,-10217.34,-18532.934999999998,-28310.67,-6718.365,-4403.16
-16266.42,-37673.055,-4310.099999999999,-10247.715,-18563.579999999998,-28323.45,-6701.49,-4408.875
-16253.82,-37684.35,-4308.57,-10242.045,-18558.719999999998,-28320.434999999998,-6721.74,-4393.08
-16243.74,-37679.4,-4313.34,-10244.835,-18566.37,-28331.1,-6746.04,-4385.565
-16216.154999999999,-37617.39,-4284.09,-10226.295,-18563.355,-28335.69,-6765.344999999999,-4374.72
-16228.755,-37635.21,-4293.315,-10225.845,-18566.64,-28346.489999999998,-6770.7,-4380.974999999999
-16259.265,-37671.345,-4319.955,-10241.279999999999,-18567.719999999998,-28310.895,-6715.44,-4386.69
-16291.845,-37688.67,-4340.745,-10260.449999999999,-18571.725,-28263.105,-6692.175,-4400.415
-16279.695,-37685.115,-4318.965,-10252.17,-18576.809999999998,-28283.715,-6732.09,-4387.1849999999995
-16261.38,-37669.365,-4303.17,-10244.654999999999,-18586.8,-28337.85,-6750.945,-4380.66
