ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7
28736.325,1550.52,-2541.105,-6173.099999999999,-16293.195,-43976.52,11811.51,-12401.595
28732.5,1542.96,-2549.25,-6182.91,-16300.215,-43990.83,11806.109999999999,-12405.015
28728.135,1540.71,-2551.5,-6191.01,-16305.93,-44002.935,11805.074999999999,-12402.404999999999
28721.61,1538.7749999999999,-2549.745,-6190.0199999999995,-16302.555,-44007.39,11804.67,-12401.324999999999
28715.085,1537.245,-2544.8399999999997,-6182.054999999999,-16291.394999999999,-43998.93,11808.135,-12400.425
28716.795,1538.595,-2541.4649999999997,-6177.554999999999,-16286.58,-43983.99,11810.744999999999,-12397.814999999999
28726.02,1545.3899999999999,-2528.64,-6159.285,-16269.795,-43962.479999999996,11817.314999999999,-12391.965
28724.219999999998,1538.865,-2536.11,-6164.639999999999,-16272.045,-43983.405,11809.89,-12397.814999999999
28729.485,1538.01,-2538.81,-6168.33,-16271.64,-43995.24,11806.875,-12398.895
28732.41,1534.095,-2542.95,-6172.29,-16271.865,-43983.225,11803.59,-12403.305
28730.745,1529.82,-2545.47,-6174.2699999999995,-16267.814999999999,-43975.125,11803.77,-12405.105
28726.065,1527.3899999999999,-2544.525,-6170.94,-16262.324999999999,-43973.865,11800.529999999999,-12407.895
28721.835,1527.345,-2540.295,-6165.405,-16275.465,-43969.994999999995,11803.005,-12405.555
28714.094999999998,1525.1399999999999,-2541.555,-6165.63,-16307.595,-43969.994999999995,11805.66,-12402.945
28706.129999999997,1521.315,-2539.98,-6157.08,-16298.91,-43961.895,11808.18,-12404.34
28706.399999999998,1521.81,-2534.805,-6149.205,-16274.16,-43961.85,11811.015,-12402.585
28715.579999999998,1527.2549999999999,-2531.115,-6149.115,-16262.189999999999,-43970.67,11814.75,-12394.8
28713.285,1517.1299999999999,-2542.095,-6160.995,-16268.039999999999,-43981.604999999996,11805.39,-12402.494999999999
28719.675,1518.03,-2539.755,-6157.665,-16261.289999999999,-43982.369999999995,11807.234999999999,-12400.605
28718.864999999998,1508.985,-2548.665,-6165.179999999999,-16276.904999999999,-43995.555,11800.71,-12408.93
28716.21,1506.465,-2546.8199999999997,-6165.45,-16284.06,-43993.755,11801.205,-12408.48
