ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7
-3966.75,-23976.855,18831.015,1782.585,9741.734999999999,-21838.14,-5912.415,15403.005
-4005.315,-24043.454999999998,18794.969999999998,1753.5149999999999,9727.199999999999,-21841.155,-5915.429999999999,15388.47
-4002.615,-24103.575,18673.11,1730.61,9730.529999999999,-21841.92,-5914.62,15391.305
-3946.14,-24074.055,18594.45,1740.33,9755.955,-21821.219999999998,-5901.075,15417.945
-3902.355,-23960.879999999997,18668.52,1756.26,9743.67,-21839.399999999998,-5908.41,15426.0
-3877.92,-23850.945,18798.03,1782.945,9743.039999999999,-21843.045,-5907.33,15431.31
-3889.17,-23862.105,18820.17,1793.205,9757.44,-21829.635,-5898.78,15431.805
-3931.9649999999997,-23901.93,18808.29,1803.51,9770.4,-21820.5,-5895.719999999999,15418.619999999999
-3991.5,-23991.12,18780.84,1790.5049999999999,9765.81,-21824.19,-5901.48,15396.84
-4011.12,-24073.29,18731.835,1740.0149999999999,9727.65,-21839.129999999997,-5902.065,15384.914999999999
-4000.725,-24098.76,18651.059999999998,1695.0149999999999,9695.88,-21861.45,-5906.34,15385.275
-3986.5049999999997,-24107.67,18646.92,1692.36,9687.555,-21882.78,-5924.295,15382.574999999999
-3962.16,-24048.315,18733.454999999998,1761.12,9738.72,-21856.815,-5923.844999999999,15389.505
-3892.14,-23875.92,18811.755,1817.595,9771.705,-21841.92,-5913.945,15415.965
-3829.95,-23753.34,18884.835,1849.725,9780.93,-21840.03,-5905.304999999999,15442.47
-3883.5899999999997,-23863.545,18856.71,1835.325,9782.595,-21831.704999999998,-5901.84,15425.82
-3910.3199999999997,-23952.42,18789.48,1811.61,9778.455,-21831.12,-5896.349999999999,15420.51
-3909.285,-23942.34,18788.489999999998,1815.12,9778.859999999999,-21836.07,-5906.34,15416.279999999999
-3899.0699999999997,-23895.989999999998,18820.62,1808.73,9757.08,-21859.785,-5917.23,15419.43
-3916.35,-23916.285,18802.98,1768.0049999999999,9731.025,-21876.84,-5917.455,15413.085
-3938.22,-23957.55,18769.32,1760.085,9734.085,-21866.67,-5905.08,15404.085
-3943.62,-23988.87,18740.385,1771.9199999999998,9743.445,-21859.379999999997,-5903.325,15398.234999999999
-3924.81,-23994.315,18695.385,1760.58,9737.82,-21869.82,-5913.405,15408.18
-3912.66,-23966.19,18729.495,1771.7849999999999,9737.055,-21876.434999999998,-5916.599999999999,15411.824999999999
-3908.115,-23947.379999999997,18771.075,1796.22,9761.67,-21860.82,-5906.115,15415.56
-3908.3399999999997,-23942.34,18796.184999999998,1796.445,9759.869999999999,-21864.69,-5904.135,15413.894999999999
