ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7
-4959.2699999999995,-24505.11,17092.079999999998,832.005,9021.779999999999,-22596.39,-5316.03,14774.894999999999
-4965.165,-24476.895,17106.075,823.905,9012.195,-22607.28,-5324.264999999999,14766.705
-4974.929999999999,-24502.14,17077.14,826.02,9011.565,-22606.245,-5327.19,14760.18
-4977.63,-24563.07,17065.395,838.395,9018.0,-22596.57,-5331.465,14757.074999999999
-4981.7699999999995,-24594.975,17100.45,846.0899999999999,9012.96,-22600.53,-5315.264999999999,14764.859999999999
-4974.389999999999,-24548.579999999998,17122.32,841.3199999999999,9002.88,-22608.585,-5313.915,14765.939999999999
-4960.665,-24503.67,17110.305,827.55,8993.16,-22613.76,-5320.665,14765.805
-4961.745,-24505.605,17110.89,829.5749999999999,8997.705,-22610.565,-5320.08,14764.365
-4959.63,-24498.135,17124.03,840.645,9009.225,-22603.364999999998,-5317.695,14764.455
-4967.099999999999,-24503.265,17123.445,842.4449999999999,9009.945,-22605.704999999998,-5323.59,14757.93
-4971.96,-24510.915,17119.395,844.8299999999999,9013.725,-22600.395,-5320.575,14755.635
-4975.2,-24506.235,17127.36,853.155,9021.51,-22589.415,-5315.849999999999,14753.025
-4972.995,-24496.739999999998,17135.91,859.86,9025.74,-22584.87,-5316.389999999999,14751.72
-4977.36,-24512.94,17127.855,852.12,9016.065,-22589.19,-5318.775,14747.67
-4978.349999999999,-24530.579999999998,17117.954999999998,849.555,9014.625,-22586.129999999997,-5317.695,14747.894999999999
-4980.825,-24531.03,17113.41,849.6899999999999,9014.805,-22582.665,-5317.605,14744.744999999999
-4979.565,-24516.855,17105.04,837.36,9004.455,-22590.045,-5318.054999999999,14742.63
-4969.215,-24499.44,17117.595,844.74,9009.81,-22585.59,-5315.804999999999,14746.545
-4964.67,-24498.45,17120.52,851.76,9015.66,-22578.39,-5311.26,14748.255
-4981.905,-24522.57,17096.489999999998,831.375,8994.96,-22593.465,-5315.985,14734.574999999999
-4988.79,-24514.965,17101.079999999998,830.16,8989.335,-22599.629999999997,-5322.465,14725.619999999999
-5000.445,-24492.239999999998,17125.785,835.605,8992.395,-22595.85,-5328.405,14715.72
-5005.889999999999,-24509.204999999998,17107.47,834.795,8992.619999999999,-22588.335,-5319.179999999999,14717.835
-5013.63,-24576.344999999998,17053.47,831.9599999999999,8987.85,-22587.344999999998,-5315.8949999999995,14717.16
-5010.705,-24633.09,17056.8,829.35,8982.945,-22592.204999999998,-5318.01,14717.295
-4991.49,-24579.719999999998,17102.97,827.1899999999999,8974.35,-22602.375,-5320.98,14720.535
-4981.23,-24518.295,17090.325,808.6949999999999,8958.734999999999,-22619.34,-5327.19,14717.519999999999
-4986.945,-24545.25,17090.774999999998,825.7049999999999,8977.77,-22600.125,-5319.495,14715.855
-4982.67,-24531.165,17118.72,846.0,8996.355,-22584.555,-5320.44,14716.08
-4982.264999999999,-24517.215,17116.92,835.74,8986.095,-22594.454999999998,-5330.07,14708.699999999999
-4986.54,-24527.25,17109.405,838.7099999999999,8986.545,-22598.325,-5329.62,14707.98
-4990.05,-24544.079999999998,17094.555,839.385,8987.31,-22600.98,-5329.8,14706.675
-4980.78,-24528.87,17117.415,866.3399999999999,9012.734999999999,-22572.989999999998,-5319.675,14712.435
-4972.995,-24513.12,17119.845,871.38,9014.31,-22569.39,-5315.58,14716.71
-4974.21,-24518.79,17097.434999999998,862.02,9001.035,-22582.665,-5317.47,14716.08
-4974.48,-24521.579999999998,17093.07,855.135,8991.855,-22590.36,-5319.63,14714.144999999999
-4986.405,-24537.96,17105.445,851.67,8986.14,-22593.825,-5321.34,14708.25
-4991.264999999999,-24540.3,17105.67,851.175,8987.67,-22589.415,-5317.245,14707.17
-4981.724999999999,-24520.59,17113.995,861.615,8998.02,-22581.225,-5309.82,14714.865
-4979.88,-24523.829999999998,17108.235,856.5749999999999,8991.494999999999,-22589.235,-5307.885,14717.519999999999
-4991.535,-24550.11,17100.495,856.0799999999999,8992.574999999999,-22587.84,-5308.83,14711.355
-4992.03,-24549.795,17103.239999999998,860.625,8996.22,-22581.629999999997,-5303.88,14711.445
