ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7
377487.315,-58770.585,-33277.185,-35890.064999999995,-13341.96,-36279.854999999996,-11780.1,377487.315
377487.315,-58762.17,-33267.33,-35879.805,-13332.51,-36269.235,-11782.935,377487.315
377487.315,-58743.36,-33246.99,-35860.185,-13309.875,-36246.24,-11777.58,377487.315
377487.315,-58738.14,-33246.045,-35861.534999999996,-13313.564999999999,-36250.875,-11799.27,377487.315
377487.315,-58728.465,-33240.195,-35856.99,-13309.605,-36248.354999999996,-11802.914999999999,377487.315
377487.315,-58721.805,-33238.619999999995,-35860.275,-13311.675,-36253.395,-11802.555,377487.315
377487.315,-58720.59,-33238.53,-35863.424999999996,-13314.24,-36257.445,-11795.31,377487.315
377487.315,-58722.615,-33240.42,-35864.28,-13316.535,-36259.02,-11779.83,377487.315
377487.315,-58724.505,-33240.555,-35861.445,-13313.07,-36252.765,-11755.395,377487.315
377487.315,-58728.825,-33238.619999999995,-35856.314999999995,-13308.119999999999,-36246.284999999996,-11742.255,377487.315
377487.315,-58728.78,-33236.955,-35852.13,-13303.26,-36239.58,-11741.31,377487.315
377487.315,-58718.159999999996,-33226.695,-35840.295,-13289.535,-36225.674999999996,-11740.365,377487.315
377487.315,-58698.314999999995,-33205.455,-35819.28,-13266.765,-36203.49,-11735.82,377487.315
377487.315,-58697.325,-33208.92,-35828.235,-13279.455,-36220.049999999996,-11768.49,377487.315
377487.315,-58689.945,-33206.67,-35828.505,-13280.58,-36223.155,-11776.994999999999,377487.315
377487.315,-58686.03,-33205.59,-35830.17,-13283.55,-36225.945,-11774.744999999999,377487.315
377487.315,-58685.13,-33205.32,-35829.99,-13284.9,-36225.99,-11763.72,377487.315
377487.315,-58687.604999999996,-33206.534999999996,-35831.07,-13287.824999999999,-36228.104999999996,-11749.23,377487.315
377487.315,-58692.15,-33207.435,-35828.729999999996,-13283.055,-36220.049999999996,-11723.355,377487.315
377487.315,-58697.28,-33207.165,-35825.895,-13278.195,-36213.345,-11709.63,377487.315
377487.315,-58696.064999999995,-33202.53,-35820.99,-13273.154999999999,-36208.979999999996,-11709.359999999999,377487.315
377487.315,-58688.595,-33191.685,-35809.83,-13263.795,-36198.494999999995,-11710.8,377487.315
377487.315,-58670.325,-33174.674999999996,-35792.955,-13245.75,-36182.61,-11713.77,377487.315
377487.315,-58668.435,-33180.57,-35805.915,-13261.23,-36202.32,-11752.064999999999,377487.315
377487.315,-58660.064999999995,-33177.15,-35804.924999999996,-13259.205,-36201.645,-11757.914999999999,377487.315
377487.315,-58654.079999999994,-33173.145,-35805.24,-13260.734999999999,-36204.705,-11756.025,377487.315
377487.315,-58652.505,-33174.945,-35805.78,-13263.164999999999,-36205.784999999996,-11744.73,377487.315
377487.315,-58654.305,-33178.185,-35807.265,-13263.255,-36203.715,-11724.525,377487.315
377487.315,-58658.805,-33178.815,-35804.34,-13258.98,-36196.92,-11700.72,377487.315
377487.315,-58662.99,-33182.369999999995,-35805.78,-13259.835,-36198.54,-11696.715,377487.315
377487.315,-58664.115,-33180.84,-35803.034999999996,-13255.785,-36194.04,-11696.895,377487.315
377487.315,-58656.915,-33173.19,-35796.78,-13248.404999999999,-36185.445,-11701.439999999999,377487.315
377487.315,-58639.229999999996,-33155.909999999996,-35780.895,-13230.99,-36168.84,-11702.52,377487.315
377487.315,-58636.439999999995,-33157.755,-35787.195,-13237.605,-36178.29,-11729.52,377487.315
377487.315,-58627.17,-33152.22,-35782.064999999995,-13234.769999999999,-36175.77,-11732.984999999999,377487.315
377487.315,-58621.095,-33149.7,-35779.545,-13234.769999999999,-36174.689999999995,-11727.494999999999,377487.315
377487.315,-58620.24,-33148.53,-35777.43,-13231.26,-36171.494999999995,-11710.935,377487.315
377487.315,-58622.759999999995,-33150.69,-35780.58,-13233.195,-36173.88,-11696.445,377487.315
