ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7
-23887.665,-42159.284999999996,-23194.125,-30076.065,-24886.53,-30718.44,-16483.184999999998,-9788.22
-24001.155,-42208.604999999996,-23152.14,-29996.864999999998,-24980.895,-30813.93,-16565.895,-9906.119999999999
-24225.434999999998,-42580.305,-23143.454999999998,-29869.695,-24929.73,-30740.309999999998,-16537.68,-10045.215
-24356.52,-42681.33,-23238.765,-29939.129999999997,-24909.614999999998,-30690.449999999997,-16547.22,-10143.315
-24451.739999999998,-42429.42,-23219.055,-30090.69,-24963.975,-30727.844999999998,-16606.89,-10239.84
-24443.504999999997,-42421.049999999996,-23255.55,-30139.379999999997,-25017.254999999997,-30798.809999999998,-16685.415,-10289.88
-24317.64,-42407.28,-23291.954999999998,-30166.199999999997,-25075.98,-30901.545,-16767.765,-10244.16
-24121.079999999998,-42377.58,-23490.585,-30236.985,-25157.879999999997,-31019.265,-16843.545,-10147.23
-24066.945,-42236.64,-23457.105,-30399.48,-25368.614999999998,-31225.094999999998,-16922.565,-10114.92
-24125.85,-42339.104999999996,-23343.524999999998,-30613.5,-25597.98,-31395.824999999997,-16966.98,-10097.19
-24411.915,-42752.385,-23512.59,-30663.675,-25584.254999999997,-31305.42,-16940.25,-10189.08
-24644.114999999998,-42933.195,-23871.195,-30756.149999999998,-25504.605,-31154.445,-16909.2,-10375.785
-24718.41,-43062.39,-24020.73,-30691.485,-25495.739999999998,-31134.6,-16971.704999999998,-10558.395
-24610.32,-43124.085,-24023.655,-30578.445,-25603.469999999998,-31293.675,-17173.575,-10653.119999999999
-24572.52,-43018.695,-23913.405,-30601.8,-25754.715,-31498.469999999998,-17371.395,-10689.48
-24452.64,-42713.235,-23817.69,-30780.585,-25952.85,-31712.67,-17542.62,-10673.414999999999
-24459.57,-42571.845,-23711.94,-31015.62,-26193.645,-31910.535,-17629.065,-10716.255
-24560.504999999997,-42811.47,-23783.219999999998,-31228.695,-26352.675,-31991.175,-17682.03,-10805.31
-24847.065,-43420.14,-23976.54,-31372.11,-26387.594999999998,-31964.94,-17733.69,-10951.154999999999
-25147.395,-43526.205,-24227.37,-31455.045,-26451.405,-31999.14,-17823.239999999998,-11150.505
-25450.605,-43598.43,-24544.8,-31553.145,-26515.35,-32052.195,-17919.405,-11359.529999999999
-25632.405,-43884.18,-24763.95,-31598.954999999998,-26603.64,-32169.6,-18066.375,-11527.56
-25752.914999999997,-44012.43,-24912.36,-31624.829999999998,-26713.98,-32350.905,-18274.95,-11712.465
-25842.015,-44030.655,-24835.68,-31693.094999999998,-26823.329999999998,-32532.614999999998,-18508.545,-11923.47
-25845.344999999998,-43839.405,-24750.36,-31753.53,-26936.684999999998,-32710.545,-18660.239999999998,-12016.755
-25786.844999999998,-43781.354999999996,-24931.89,-31910.085,-27038.07,-32811.57,-18679.545,-12010.005
-25839.539999999997,-43859.295,-25121.07,-32005.844999999998,-27143.82,-32955.75,-18780.57,-12135.42
-25978.815,-43970.04,-25127.055,-32019.39,-27154.26,-33039.27,-18900.945,-12279.779999999999
-26103.69,-44111.34,-25163.415,-32073.48,-27191.34,-33169.229999999996,-19001.655,-12336.84
-26359.695,-44305.74,-25231.004999999997,-32130.0,-27237.69,-33230.159999999996,-19038.555,-12416.58
-26561.969999999998,-44527.005,-25280.64,-32216.355,-27307.934999999998,-33267.33,-19065.825,-12509.91
-26559.18,-44682.435,-25298.594999999998,-32280.21,-27409.77,-33366.104999999996,-19170.54,-12539.07
-26429.76,-44708.265,-25359.21,-32302.17,-27448.875,-33414.615,-19254.465,-12522.51
