ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7
-10739.43,-57222.314999999995,-45718.29,-35270.415,-37759.68,-43987.005,-14136.795,4885.38
-10733.715,-57220.829999999994,-45718.74,-35275.86,-37772.595,-44016.165,-14196.24,4862.565
-10731.69,-57219.165,-45716.625,-35274.96,-37770.795,-44014.455,-14175.359999999999,4882.545
-10729.71,-57220.335,-45720.405,-35280.494999999995,-37776.104999999996,-44020.755,-14156.64,4895.6849999999995
-10746.81,-57240.99,-45738.765,-35298.405,-37794.284999999996,-44037.54,-14169.375,4895.775
-10747.755,-57240.27,-45737.189999999995,-35297.685,-37791.0,-44031.104999999996,-14175.855,4899.735
-10740.465,-57229.92,-45726.795,-35287.244999999995,-37781.145,-44023.725,-14177.744999999999,4866.705
-10740.06,-57236.985,-45734.895,-35296.155,-37788.39,-44029.17,-14174.234999999999,4868.325
-10742.715,-57244.59,-45744.479999999996,-35305.02,-37796.22,-44034.705,-14176.394999999999,4875.03
-10741.68,-57243.6,-45745.2,-35304.435,-37793.159999999996,-44031.825,-14176.755,4875.57
-10733.984999999999,-57224.564999999995,-45720.494999999995,-35279.145,-37770.119999999995,-44012.655,-14167.529999999999,4877.91
-10732.545,-57218.67,-45710.415,-35269.83,-37765.845,-44015.085,-14164.785,4873.95
-10730.654999999999,-57220.424999999996,-45711.63,-35272.215,-37769.85,-44022.465,-14179.455,4874.085
-10732.14,-57223.89,-45712.034999999996,-35272.979999999996,-37772.865,-44030.744999999995,-14191.65,4873.095
-10741.635,-57232.259999999995,-45720.945,-35282.61,-37783.395,-44040.6,-14177.205,4866.929999999999
-10732.05,-57217.185,-45712.53,-35277.165,-37779.03,-44041.994999999995,-14189.894999999999,4870.304999999999
-10730.654999999999,-57219.57,-45720.674999999996,-35284.365,-37775.295,-44025.345,-14195.16,4876.47
-10745.414999999999,-57241.71,-45743.985,-35306.865,-37791.945,-44023.095,-14184.225,4867.425
-10738.619999999999,-57228.795,-45728.1,-35290.17,-37783.305,-44033.174999999996,-14187.285,4870.71
-10744.02,-57234.735,-45730.619999999995,-35290.17,-37784.88,-44043.84,-14191.289999999999,4877.37
-10740.914999999999,-57224.924999999996,-45718.424999999996,-35275.905,-37768.455,-44023.77,-14190.57,4882.635
-10730.34,-57212.64,-45705.195,-35262.63,-37750.5,-43991.369999999995,-14180.984999999999,4853.565
-10739.52,-57232.575,-45725.534999999996,-35285.4,-37772.685,-44012.564999999995,-14182.875,4858.425
-10739.565,-57230.369999999995,-45724.275,-35283.915,-37773.314999999995,-44016.119999999995,-14188.904999999999,4860.2699999999995
-10738.98,-57231.405,-45728.369999999995,-35287.02,-37776.555,-44019.72,-14187.42,4864.455
-10736.055,-57225.24,-45721.17,-35279.19,-37769.354999999996,-44013.33,-14185.529999999999,4868.82
-10739.88,-57230.055,-45724.68,-35284.14,-37772.909999999996,-44017.064999999995,-14187.465,4861.62
-10743.75,-57227.174999999996,-45718.92,-35279.19,-37770.299999999996,-44015.265,-14193.225,4852.3949999999995
-10767.51,-57253.59,-45742.68,-35306.685,-37802.97,-44055.81,-14223.6,4818.014999999999
-10753.515,-57235.59,-45725.895,-35294.04,-37795.545,-44069.805,-14219.775,4823.505
-10683.585,-57148.244999999995,-45637.604999999996,-35199.99,-37701.765,-44000.729999999996,-14165.865,4898.429999999999
-10733.4,-57218.85,-45702.314999999995,-35255.88,-37747.395,-44041.634999999995,-14180.31,4866.075
-10710.494999999999,-57186.18,-45673.424999999996,-35232.255,-37724.04,-43990.695,-14145.3,4883.535
-10717.965,-57211.2,-45711.405,-35274.24,-37764.585,-44000.729999999996,-14204.789999999999,4879.035
-10739.34,-57238.2,-45739.53,-35300.744999999995,-37786.77,-44015.04,-14224.14,4852.44
-10743.885,-57240.81,-45738.134999999995,-35296.965,-37776.24,-43994.43,-14207.894999999999,4844.295
-10694.744999999999,-57178.665,-45676.665,-35234.415,-37713.6,-43935.84,-14151.42,4900.005
-10723.635,-57219.659999999996,-45716.445,-35276.625,-37760.58,-43996.994999999995,-14169.24,4883.355
-10728.855,-57218.265,-45709.784999999996,-35273.07,-37762.83,-44017.155,-14195.25,4868.505
-10720.44,-57211.155,-45703.439999999995,-35266.005,-37757.655,-44014.814999999995,-14197.5,4874.22
-10719.359999999999,-57209.085,-45698.58,-35257.994999999995,-37749.689999999995,-43996.455,-14180.939999999999,4874.535
-10726.47,-57220.56,-45713.564999999995,-35271.854999999996,-37759.59,-44000.28,-14176.89,4864.86
-10734.435,-57233.79,-45727.47,-35286.119999999995,-37773.045,-44021.88,-14176.394999999999,4854.69
-10742.85,-57244.049999999996,-45737.415,-35299.53,-37790.415,-44046.54,-14211.09,4846.32
-10750.32,-57254.22,-45751.5,-35314.38,-37800.0,-44043.479999999996,-14235.119999999999,4838.76
-10696.59,-57187.619999999995,-45686.205,-35247.15,-37728.63,-43970.085,-14213.205,4895.37
-10717.38,-57223.079999999994,-45721.53,-35282.655,-37761.615,-43996.32,-14192.46,4890.51
-10726.605,-57230.954999999994,-45724.68,-35288.055,-37777.814999999995,-44028.854999999996,-14211.359999999999,4875.84
-10721.385,-57224.115,-45718.064999999995,-35284.095,-37778.895,-44037.765,-14215.365,4876.83
-10724.67,-57233.159999999996,-45729.9,-35295.119999999995,-37786.77,-44038.665,-14211.225,4874.535
-10730.565,-57238.74,-45733.365,-35294.715,-37782.9,-44032.994999999995,-14213.34,4866.165
