ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7
7091.73,-11672.145,-6079.679999999999,-28989.27,-46036.89,-25167.42,-20666.745,13206.869999999999
7104.87,-11670.84,-6093.179999999999,-28998.855,-46042.29,-25167.825,-20655.855,13224.555
7076.25,-11681.55,-6084.855,-28987.785,-46030.409999999996,-25158.42,-20656.755,13209.615
7051.679999999999,-11700.404999999999,-6099.03,-28998.855,-46039.005,-25165.89,-20658.915,13197.195
7057.035,-11704.59,-6107.3099999999995,-29003.445,-46039.86,-25164.765,-20654.415,13200.93
7051.05,-11716.38,-6107.8949999999995,-28995.164999999997,-46034.189999999995,-25156.53,-20649.42,13202.595
7033.05,-11714.805,-6102.315,-28995.344999999998,-46032.119999999995,-25152.254999999997,-20643.84,13200.029999999999
7009.245,-11722.68,-6107.445,-28998.629999999997,-46033.604999999996,-25155.585,-20649.69,13184.55
7016.759999999999,-11711.789999999999,-6093.99,-28979.055,-46018.935,-25146.585,-20649.015,13187.925
7029.719999999999,-11705.265,-6095.115,-28976.355,-46015.875,-25143.93,-20650.635,13183.38
7033.455,-11693.25,-6114.375,-29003.489999999998,-46036.619999999995,-25157.114999999998,-20650.635,13177.71
6993.855,-11693.43,-6121.62,-29012.355,-46037.159999999996,-25153.829999999998,-20650.14,13167.359999999999
6961.59,-11713.14,-6119.415,-29011.995,-46038.24,-25154.504999999997,-20643.84,13164.57
6974.955,-11749.095,-6140.565,-29010.6,-46034.505,-25151.129999999997,-20640.015,13175.595
7039.8,-11721.645,-6146.594999999999,-29017.89,-46043.325,-25157.655,-20636.145,13198.769999999999
7075.349999999999,-11705.265,-6122.25,-29016.855,-46057.095,-25175.969999999998,-20636.1,13215.555
7045.965,-11717.775,-6125.94,-29016.765,-46052.685,-25165.395,-20626.739999999998,13217.58
6981.165,-11745.0,-6137.82,-29031.434999999998,-46060.875,-25169.309999999998,-20627.055,13188.285
6963.21,-11765.744999999999,-6135.525,-29025.0,-46050.03,-25163.55,-20635.11,13167.359999999999
6995.925,-11768.355,-6140.429999999999,-29010.51,-46040.939999999995,-25159.995,-20640.42,13169.744999999999
7082.82,-11689.02,-6107.94,-28970.414999999997,-46015.695,-25140.42,-20628.315,13202.189999999999
7108.0199999999995,-11626.47,-6088.59,-28982.43,-46030.229999999996,-25150.59,-20615.579999999998,13219.019999999999
7057.71,-11647.17,-6103.844999999999,-29009.34,-46032.525,-25134.885,-20602.71,13215.33
6961.995,-11693.16,-6120.855,-29044.71,-46038.465,-25131.059999999998,-20611.98,13182.074999999999
6866.46,-11770.02,-6134.04,-29058.3,-46040.445,-25132.68,-20616.66,13155.57
6832.485,-11857.814999999999,-6167.565,-29040.434999999998,-46038.869999999995,-25140.735,-20614.454999999998,13141.484999999999
6957.36,-11775.42,-6163.0199999999995,-28999.98,-46037.564999999995,-25158.915,-20605.05,13186.845
