ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7
-3497.67,-27599.039999999997,-98.28,-20758.995,-31804.92,-17393.535,26873.01,183045.78
-3484.395,-27646.829999999998,-110.25,-20852.325,-31865.265,-17346.465,26864.82,183136.63499999998
-3426.2549999999997,-27594.315,-133.29,-21012.12,-32317.92,-17736.57,26864.91,183232.845
-3410.19,-27555.57,-290.78999999999996,-21126.195,-32562.27,-17908.02,26874.539999999997,183343.41
-3444.8399999999997,-27655.155,-353.52,-20950.739999999998,-32278.14,-18285.434999999998,26843.625,183455.685
-3539.3399999999997,-27670.32,-140.445,-20634.12,-31844.655,-18515.34,26820.405,183583.395
-3616.83,-27607.32,-5.3999999999999995,-20561.309999999998,-31640.039999999997,-17800.469999999998,26825.265,183722.895
-3553.515,-27475.695,104.22,-20623.995,-31806.855,-17317.44,26799.434999999998,183839.4
-3524.94,-27446.805,89.28,-20712.825,-31793.985,-17204.445,26772.075,183938.985
-3547.71,-27489.105,-107.145,-20828.43,-31808.745,-17316.09,26755.155,184030.155
-3571.065,-27500.985,-193.04999999999998,-20858.579999999998,-31714.02,-17359.875,26758.844999999998,184108.905
-3533.22,-27500.399999999998,-148.545,-20926.89,-31718.114999999998,-17279.684999999998,26757.135,184181.66999999998
-3459.015,-27455.625,-110.565,-21010.23,-31953.059999999998,-17344.755,26758.89,184268.835
-3391.4249999999997,-27416.7,-61.379999999999995,-20936.07,-32216.219999999998,-17909.55,26738.82,184367.16
-3357.45,-27407.52,-9.045,-20885.445,-32360.805,-18735.48,26723.655,184467.78
-3428.8199999999997,-27461.07,-57.96,-20856.555,-32355.405,-18662.579999999998,26724.735,184577.75999999998
-3439.17,-27422.01,51.345,-20745.945,-32191.425,-18101.61,26704.26,184692.69
-3338.775,-27337.32,190.39499999999998,-20739.51,-32024.879999999997,-18318.6,26666.01,184787.775
-3500.325,-27579.42,32.67,-20620.665,-31882.094999999998,-18146.204999999998,26664.614999999998,184867.245
-3618.495,-27642.195,14.67,-20514.239999999998,-31942.305,-17382.149999999998,26676.225,184940.55
-3616.92,-27579.78,85.725,-20470.59,-31448.475,-16831.215,26696.204999999998,185013.04499999998
-3612.42,-27565.829999999998,-56.79,-20463.84,-31172.985,-16614.54,26706.69,185068.16999999998
-3581.595,-27544.454999999998,-164.655,-20717.235,-31442.489999999998,-17056.035,26731.844999999998,185112.405
-3512.205,-27490.77,-84.24,-20978.055,-31774.454999999998,-17214.75,26704.395,185162.35499999998
-3455.865,-27493.515,-111.69,-21262.094999999998,-32175.09,-17412.614999999998,26668.079999999998,185224.63499999998
-3339.9,-27351.405,-40.815,-21455.684999999998,-32681.114999999998,-18252.719999999998,26723.835,185327.19
-3235.23,-27223.065,35.865,-21417.03,-33333.659999999996,-18746.774999999998,26751.465,185420.16
-3400.1549999999997,-27443.475,-43.515,-20910.239999999998,-32506.785,-18189.09,26691.93,185507.235
-3635.595,-27721.125,-128.115,-20352.915,-31302.405,-17362.62,26682.39,185596.74
