ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7
-10020.779999999999,-48481.695,-18345.735,-44758.305,-23057.594999999998,-12910.904999999999,-5818.139999999999,6488.865
-10019.88,-48465.225,-18275.085,-44689.049999999996,-22999.454999999998,-12944.88,-5748.525,6479.6849999999995
-10125.404999999999,-48503.61,-18219.149999999998,-44599.14,-22842.585,-12705.21,-5735.115,6397.785
-10156.455,-48517.56,-18201.6,-44593.83,-22860.629999999997,-12706.74,-5745.014999999999,6364.575
-10112.895,-48451.5,-18146.024999999998,-44557.02,-22872.555,-12726.09,-5785.785,6342.165
-10069.244999999999,-48402.765,-18108.045,-44548.965,-22923.629999999997,-12764.115,-5804.73,6335.639999999999
-10088.1,-48439.439999999995,-18093.195,-44552.564999999995,-22993.065,-12830.445,-5792.445,6337.035
-10174.545,-48525.705,-18063.719999999998,-44529.345,-23004.855,-12901.23,-5774.49,6335.46
-10297.26,-48611.655,-18048.465,-44507.88,-22987.844999999998,-12990.779999999999,-5757.84,6319.3949999999995
-10342.395,-48618.45,-18045.315,-44487.81,-22990.004999999997,-13087.305,-5739.21,6322.86
-10294.56,-48574.53,-18055.26,-44502.705,-23054.355,-13266.945,-5736.69,6341.76
-10199.88,-48556.305,-18090.765,-44485.02,-23094.945,-13438.529999999999,-5734.44,6377.445
-10142.865,-48565.89,-18149.67,-44433.314999999995,-23107.05,-13443.84,-5733.63,6395.985
-10190.88,-48580.47,-18185.94,-44401.185,-23095.934999999998,-13294.8,-5740.875,6364.71
-10176.074999999999,-48489.119999999995,-18201.195,-44449.064999999995,-23108.265,-13121.01,-5758.245,6338.969999999999
-10143.18,-48409.29,-18177.48,-44509.994999999995,-23156.82,-12995.369999999999,-5760.36,6349.094999999999
-10160.414999999999,-48437.955,-18163.62,-44538.795,-23229.45,-12898.215,-5761.304999999999,6359.219999999999
-10208.025,-48458.295,-18084.915,-44492.939999999995,-23281.379999999997,-12820.095,-5784.03,6350.219999999999
-10214.279999999999,-48455.46,-17991.27,-44409.015,-23359.905,-12740.039999999999,-5784.21,6379.2
-10206.135,-48585.195,-17980.605,-44358.345,-23692.68,-12667.455,-5750.1449999999995,6417.179999999999
-10126.035,-48620.159999999996,-17905.905,-44355.15,-24162.795,-12643.605,-5732.235,6483.24
-10061.91,-48556.034999999996,-17859.42,-44375.939999999995,-24510.555,-12629.205,-5729.13,6526.71
-10053.225,-48529.979999999996,-17960.805,-44391.42,-24798.465,-12576.015,-5703.03,6523.11
-10009.89,-48459.645,-18032.985,-44388.72,-25167.195,-12533.58,-5700.599999999999,6509.115
-9967.859999999999,-48411.72,-17988.84,-44360.505,-25486.469999999998,-12536.369999999999,-5718.24,6506.505
-9998.865,-48449.475,-17851.23,-44313.39,-25645.905,-12546.09,-5742.675,6506.37
-10034.595,-48605.805,-17777.114999999998,-44260.02,-25767.899999999998,-12542.31,-5745.78,6536.5199999999995
-10079.414999999999,-48704.58,-17678.16,-44180.595,-25838.82,-12548.789999999999,-5763.465,6556.995
-10042.154999999999,-48619.845,-17486.64,-44130.195,-25949.565,-12638.609999999999,-5812.155,6561.224999999999
-9984.645,-48462.165,-17339.445,-44139.78,-26095.05,-12754.395,-5837.04,6562.304999999999
-9955.529999999999,-48337.335,-17254.8,-44137.17,-26156.43,-12771.09,-5867.1449999999995,6561.2699999999995
-9914.445,-48279.465,-17204.265,-44153.549999999996,-26141.309999999998,-12773.295,-5936.804999999999,6566.445
-9953.775,-48343.14,-17192.43,-44150.13,-26031.69,-12740.85,-6003.585,6568.065
-10039.545,-48427.74,-17215.605,-44140.77,-25909.515,-12727.845,-6028.245,6557.535
-10139.265,-48523.409999999996,-17285.67,-44125.29,-25800.614999999998,-12658.095,-5987.429999999999,6536.969999999999
-10165.185,-48545.955,-17300.655,-44114.759999999995,-25687.754999999997,-12569.58,-6082.29,6523.5599999999995
-10095.885,-48462.795,-17149.274999999998,-44138.655,-25684.605,-12626.64,-6149.655,6557.759999999999
-10091.744999999999,-48433.275,-17029.079999999998,-44159.759999999995,-25707.51,-12654.045,-6173.28,6550.065
-10160.414999999999,-48476.97,-16995.195,-44133.03,-25675.515,-12646.484999999999,-6252.344999999999,6536.655
-10192.68,-48495.689999999995,-17023.59,-44106.21,-25642.844999999998,-12615.164999999999,-6325.0199999999995,6537.195
